epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.5136,1.69009,5.93302,0.64061,2.68154,2.15161,0.27904,0.24027,0.1847,0.06254,0,0,0,0,2.25558,6.82899,0.41357,3.21982,2.75366,0.000165242,0.000165242,0.083641
2,232.738,1.64116,5.08418,0.57165,2.23613,2.03982,0.1594,0.51515,0.25213,0.08771,0.00978,0.02784,0.00241,0.00026,2.07616,6.36786,0.28396,2.82858,2.98647,0.000331889,0.000331889,0.067141
3,396.748,1.60369,4.91162,0.53139,2.29384,2.01389,0.25577,0.45678,0.13379,0.05391,0.3495,0.01887,0.00298,0.00049,2.18909,6.83345,0.33099,3.58557,3.01768,0.000498454,0.000498454,0.0506409
4,580.155,1.61553,4.80355,0.50846,2.2904,2.01351,0.19497,0.57586,0.28105,0.08629,0.03231,0.1032,0.00957,0.0011,2.35821,5.68556,0.16421,3.00946,3.17382,0.000664877,0.000664877,0.0341407
5,718.586,1.60159,4.6925,0.4814,2.21708,2.00214,0.21615,0.52038,0.30786,0.1375,0.17637,0.01818,0.00215,0.00031,1.76679,5.70009,0.11344,2.22815,2.61716,0.000831096,0.000831096,0.0176402
6,887.528,1.58192,4.5011,0.44989,2.18659,1.99893,0.34414,0.69502,0.47895,0.20169,0.37482,0.06786,0.01121,0.00172,1.83782,5.51427,0.12612,1.78252,2.34134,0.000997052,0.000997052,0.0011395
7,1058.99,1.55558,4.5659,0.45773,2.05615,1.96963,0.46138,0.64491,0.49399,0.16714,0.24442,0.18214,0.03753,0.0065,2.23516,4.50458,0.10615,1.86933,2.94502,0.000997803,0.000997803,0.000997803
8,1219.14,1.53612,4.38019,0.43231,2.05579,1.94564,0.48684,0.73645,0.58202,0.29758,0.28998,0.23042,0.08366,0.02115,1.57977,4.43378,0.10641,1.43934,2.24797,0.000997011,0.000997011,0.000997011
9,1353.03,1.5447,4.23179,0.42606,2.01927,1.94386,0.40605,0.83409,0.53834,0.16848,0.11231,0.25532,0.077,0.0121,2.25217,4.27496,0.05095,1.68742,2.7942,0.000996097,0.000996097,0.000996097
10,1540.72,1.49505,4.14329,0.40554,2.00281,1.89302,0.43872,0.8219,0.57087,0.33048,0.14391,0.27551,0.09283,0.0213,1.42374,4.17504,0.10804,1.43503,1.97064,0.000995062,0.000995062,0.000995062
11,1658.26,1.50469,4.21824,0.41469,1.95348,1.89798,0.49581,0.90408,0.636,0.35394,0.16899,0.31789,0.12182,0.02898,1.53305,4.05511,0.08544,1.28432,2.10133,0.000993906,0.000993906,0.000993906
12,1814.06,1.43898,4.05008,0.40981,1.90211,1.86214,0.55817,0.69452,0.54724,0.30254,0.34412,0.25675,0.17191,0.03792,1.57397,4.38986,0.09416,1.55224,2.12332,0.000992629,0.000992629,0.000992629
13,1963.17,1.43547,3.99779,0.40301,1.87954,1.84458,0.48784,0.9329,0.64416,0.37436,0.27933,0.52085,0.26234,0.06721,1.47157,3.6965,0.09911,1.37465,2.01331,0.000991232,0.000991232,0.000991232
14,2083.16,1.40629,3.83918,0.39849,1.86596,1.82481,0.46959,0.90802,0.62779,0.38976,0.30785,0.46901,0.30678,0.07119,1.34194,3.74871,0.13457,1.25151,1.9132,0.000989715,0.000989715,0.000989715
