epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,389.771,1.80707,7.87445,0.6745,2.77432,2.20654,0.00559,0.20987,0.00438,0.00084,0,0,0,0,nan,nan,nan,nan,nan,0.000655367,0.000655367,0.067887
2,1134.72,1.72546,7.10663,0.6109,2.21694,2.00325,0.00557,0.20987,0.00256,0.00072,0,0,0,0,nan,nan,nan,nan,nan,0.00132002,0.00132002,0.0352183
3,1888.18,1.72798,7.29256,0.62307,2.19988,2.01274,0.00557,0.20987,0.00256,0.00072,0,0,0,0,nan,nan,nan,nan,nan,0.00197658,0.00197658,0.00254155
4,2602.27,1.68775,7.29963,0.62331,2.16654,1.98791,0.00557,0.20987,0.00256,0.00072,0,0,0,0,nan,nan,nan,nan,nan,0.00197265,0.00197265,0.00197265
5,3472.62,1.68491,7.39841,0.62481,2.16208,1.98302,0.00557,0.20987,0.00256,0.00072,0,0,0,0,nan,nan,nan,nan,nan,0.00195155,0.00195155,0.00195155
6,3879.59,1.91721,7.23356,0.5882,2.34625,2.15556,0.00016,0.0787,8e-05,4e-05,0,0,0,0,4.50467,11.1847,4.38826,13358.7,85.6244,0.00192464,0.00192464,0.00192464
7,4715.11,1.72441,6.98336,0.59086,2.09387,2.02784,0.00016,0.0787,8e-05,4e-05,0,0,0,0,4.50756,11.185,4.38909,13339.5,85.5811,0.0018921,0.0018921,0.0018921
8,5552.22,1.71006,6.97877,0.58873,2.07618,2.00984,0.00016,0.0787,8e-05,4e-05,0,0,0,0,4.50756,11.185,4.38909,13339.5,85.5811,0.00185411,0.00185411,0.00185411
9,6009.28,1.68524,6.74942,0.57239,2.01652,1.99786,0.04603,0.34231,0.03508,0.00995,0.00143,0.00309,3e-05,0,2.65427,9.33462,0.18825,29.8032,4.50571,0.00181093,0.00181093,0.00181093
10,6413.2,1.64679,6.48876,0.53194,1.92729,1.95746,0.45379,0.28264,0.15577,0.05052,0.36256,0.04985,0.00572,0.00081,2.36097,7.38295,0.11657,3.88534,3.15665,0.0017628,0.0017628,0.0017628
