epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.249,1.68142,5.9227,0.64793,2.74971,2.14342,0.48855,0.67354,0.40013,0.18208,0.00278,0.01549,0.00012,1e-05,1.84997,6.3474,0.67049,2.86815,2.47369,0.000165242,0.000165242,0.083641
2,122.15,1.59752,5.00421,0.58296,2.21068,2.02191,0.33558,0.82882,0.41579,0.13676,0.00969,0.01875,0.00091,0.00012,2.23066,5.78647,0.49032,1.67346,2.87821,0.000331828,0.000331828,0.0671409
3,173.373,1.6103,4.74353,0.54278,2.16976,2.01061,0.45413,0.51337,0.36025,0.15895,0.22235,0.06637,0.01586,0.00215,2.01728,5.55601,0.36564,2.04675,2.65131,0.000498089,0.000498089,0.0506405
4,223.792,1.58652,4.57299,0.50758,2.15261,1.99084,0.33318,0.7445,0.49691,0.19982,0.02725,0.07947,0.0168,0.00314,1.81997,4.99683,0.2116,3.22254,2.62253,0.000663781,0.000663781,0.0341396
5,274.039,1.56048,4.57764,0.47525,2.05194,1.98736,0.32943,0.81267,0.56148,0.27175,0.08372,0.20232,0.0511,0.00822,1.58142,4.37226,0.15924,1.88998,2.24466,0.000828662,0.000828662,0.0176378
6,323.907,1.56037,4.60163,0.47967,2.07795,1.98757,0.41862,0.70908,0.54422,0.25423,0.05238,0.14422,0.0223,0.00361,1.7043,4.57169,0.17284,1.80712,2.37107,0.00099249,0.00099249,0.00113494
7,373.493,1.56202,4.39886,0.45148,2.07478,1.97063,0.50405,0.74204,0.5622,0.27533,0.07421,0.16978,0.03587,0.0048,1.6989,4.84731,0.2082,1.4649,2.31487,0.000991232,0.000991232,0.000991232
8,426.49,1.52243,4.23041,0.43854,1.99128,1.92818,0.35016,0.83528,0.49595,0.17161,0.31329,0.21242,0.10726,0.01901,2.19311,4.33697,0.10589,1.56374,2.94305,0.000988079,0.000988079,0.000988079
9,480.035,1.47816,4.11365,0.43229,1.95642,1.88818,0.39328,0.82989,0.53568,0.29529,0.1539,0.29489,0.13216,0.03127,1.55229,4.24984,0.10304,1.60131,2.18144,0.000984449,0.000984449,0.000984449
10,535.277,1.42497,3.95031,0.41704,1.90024,1.85895,0.34257,0.81927,0.51975,0.2053,0.127,0.3011,0.1051,0.02193,2.25406,3.9266,0.09524,1.94328,3.03754,0.000980345,0.000980345,0.000980345
11,587.681,1.46447,3.93611,0.41829,1.87719,1.87621,0.5555,0.87571,0.62727,0.3153,0.26283,0.49601,0.26048,0.07015,1.63612,3.47323,0.12831,1.32641,2.25859,0.000975773,0.000975773,0.000975773
12,640.89,1.40656,3.90011,0.4039,1.84597,1.84034,0.48036,0.84998,0.64472,0.32281,0.24825,0.51852,0.26508,0.05541,1.72462,3.82595,0.0791,1.25143,2.35232,0.000970736,0.000970736,0.000970736
13,693.471,1.39957,3.70324,0.39643,1.77514,1.8154,0.57369,0.85698,0.72368,0.35814,0.35045,0.53409,0.32296,0.08277,1.74269,3.488,0.1196,1.19158,2.38437,0.000965239,0.000965239,0.000965239
14,746.123,1.41537,3.64152,0.3946,1.83143,1.85866,0.47994,0.88647,0.68574,0.3972,0.28733,0.53763,0.28169,0.0762,1.53743,3.23272,0.10684,1.21096,2.09951,0.000959289,0.000959289,0.000959289
15,799.221,1.43624,3.60762,0.39829,1.81424,1.84699,0.56594,0.90867,0.7044,0.3733,0.38511,0.60701,0.39542,0.09574,1.71995,3.29116,0.12858,1.36145,2.25584,0.000952889,0.000952889,0.000952889
16,854.066,1.37876,3.49419,0.37554,1.74574,1.79053,0.56558,0.84651,0.69413,0.37525,0.45948,0.73921,0.5199,0.13128,1.62703,2.8019,0.14831,1.26354,2.18189,0.000946048,0.000946048,0.000946048
17,908.806,1.37175,3.49962,0.38221,1.76408,1.7957,0.54048,0.92095,0.76716,0.44686,0.60324,0.68822,0.58746,0.18218,1.49901,2.6201,0.10055,1.12335,2.02712,0.000938772,0.000938772,0.000938772
18,963.758,1.32126,3.3021,0.37476,1.68896,1.76408,0.51062,0.93883,0.76886,0.41852,0.55405,0.70166,0.51447,0.15034,1.56244,2.72606,0.10929,1.16774,2.1533,0.000931067,0.000931067,0.000931067
19,1016.52,1.33486,3.34861,0.38856,1.69342,1.76469,0.54661,0.89363,0.70771,0.41969,0.45683,0.69223,0.52992,0.14131,1.41492,2.65286,0.2184,1.1175,2.0006,0.000922942,0.000922942,0.000922942
20,1068.37,1.35141,3.25819,0.36813,1.71844,1.78441,0.57782,0.91873,0.78677,0.46143,0.47744,0.76295,0.60516,0.19219,1.40646,2.47009,0.14231,1.09284,2.00939,0.000914405,0.000914405,0.000914405
21,1119.06,1.33888,3.2235,0.36731,1.64446,1.77337,0.59333,0.88112,0.7716,0.43281,0.57113,0.79497,0.67524,0.20858,1.42782,2.45404,0.11697,1.13852,1.99081,0.000905463,0.000905463,0.000905463
22,1169.6,1.29428,3.05836,0.35278,1.66004,1.75686,0.68495,0.83533,0.8205,0.50265,0.6068,0.74428,0.64666,0.21542,1.36936,2.36164,0.1277,1.09555,1.95671,0.000896127,0.000896127,0.000896127
23,1219.83,1.27855,3.07244,0.35011,1.58399,1.73125,0.50357,0.89181,0.8132,0.51269,0.45067,0.8238,0.68589,0.23238,1.29509,2.23214,0.13329,1.00677,1.85072,0.000886404,0.000886404,0.000886404
24,1269.53,1.31739,3.11584,0.34738,1.65219,1.76236,0.71704,0.85041,0.87093,0.54588,0.69116,0.80351,0.81009,0.29558,1.35193,2.15603,0.09999,0.93061,1.92718,0.000876305,0.000876305,0.000876305
25,1319.34,1.27831,3.01361,0.34707,1.62568,1.7301,0.69648,0.83819,0.83347,0.51002,0.6024,0.73702,0.66903,0.23915,1.3579,2.2224,0.10662,1.01742,1.93093,0.000865839,0.000865839,0.000865839
26,1380.46,1.28783,3.06513,0.34879,1.59187,1.73216,0.71095,0.70167,0.8419,0.53858,0.68915,0.67494,0.77457,0.2868,1.26596,2.15461,0.10425,1.04359,1.85348,0.000855018,0.000855018,0.000855018
27,1442.63,1.26877,2.89695,0.33554,1.58306,1.72821,0.82602,0.8769,0.9357,0.56755,0.68002,0.72142,0.69773,0.24612,1.35468,2.40375,0.10263,0.89094,1.93898,0.000843851,0.000843851,0.000843851
28,1503.88,1.29695,3.06497,0.352,1.54016,1.74087,0.77917,0.79009,0.88564,0.55003,0.69716,0.70769,0.73521,0.2504,1.35257,2.35624,0.12293,0.94459,1.88177,0.000832349,0.000832349,0.000832349
29,1565.21,1.2599,2.8038,0.33369,1.53273,1.70445,0.8189,0.89036,0.92503,0.5572,0.80756,0.86783,0.89682,0.34706,1.46018,1.97404,0.10223,0.90004,1.98024,0.000820525,0.000820525,0.000820525
30,1622.14,1.233,2.71368,0.33171,1.49786,1.68102,0.84295,0.7773,0.91502,0.61369,0.67446,0.84838,0.83675,0.33669,1.18408,1.94947,0.12472,0.83698,1.77043,0.000808389,0.000808389,0.000808389
31,1673.25,1.23888,2.74099,0.32723,1.49781,1.68734,0.75698,0.83935,0.90971,0.56202,0.73606,0.81385,0.86692,0.35871,1.37618,1.90505,0.09249,0.91278,1.9257,0.000795954,0.000795954,0.000795954
32,1722.88,1.25553,2.67208,0.3271,1.48586,1.70343,0.84958,0.81368,0.94503,0.51118,0.84305,0.8047,0.93459,0.35541,1.61391,1.98072,0.10669,0.84888,2.19619,0.000783231,0.000783231,0.000783231
33,1772.43,1.22446,2.67467,0.33366,1.41527,1.66669,0.78773,0.84342,0.93788,0.60559,0.76463,0.81876,0.89636,0.36285,1.23729,1.87091,0.09237,0.84843,1.78818,0.000770234,0.000770234,0.000770234
34,1822.28,1.21749,2.59189,0.3224,1.42741,1.65992,0.77046,0.92441,0.92814,0.61789,0.75574,0.91109,0.90245,0.37331,1.20116,1.81417,0.11278,0.79925,1.7341,0.000756976,0.000756976,0.000756976
35,1871.6,1.18938,2.53853,0.31033,1.42761,1.64162,0.81014,0.9316,0.97412,0.60332,0.799,0.91948,0.9582,0.43439,1.34277,1.74399,0.09081,0.72783,1.90718,0.000743468,0.000743468,0.000743468
36,1921.24,1.1606,2.50876,0.31319,1.36174,1.62915,0.9294,0.91778,0.96969,0.60933,0.92399,0.9113,0.95871,0.45696,1.37182,1.64567,0.10853,0.73011,1.94657,0.000729725,0.000729725,0.000729725
37,1971.17,1.17944,2.5211,0.30719,1.36763,1.65099,0.93558,0.82976,0.94775,0.61672,0.90549,0.80326,0.90464,0.38245,1.33235,1.85843,0.08414,0.75329,1.8988,0.000715761,0.000715761,0.000715761
38,2020.61,1.20763,2.48656,0.31268,1.40352,1.67618,0.86668,0.86355,0.95958,0.62323,0.85039,0.84561,0.94053,0.41033,1.23863,1.76198,0.07718,0.83929,1.75909,0.000701588,0.000701588,0.000701588
39,2069.96,1.20431,2.43286,0.31551,1.33593,1.65985,0.92023,0.94065,0.97744,0.67492,0.9174,0.93751,0.9717,0.47128,1.14659,1.62812,0.08112,0.67902,1.70444,0.000687222,0.000687222,0.000687222
40,2119.5,1.19137,2.27445,0.29848,1.35479,1.65495,0.93845,0.94751,0.97847,0.66156,0.93537,0.94448,0.96807,0.46028,1.20596,1.64358,0.06943,0.66575,1.738,0.000672675,0.000672675,0.000672675
41,2168.93,1.17502,2.4759,0.31239,1.33254,1.6411,0.9544,0.97307,0.98778,0.61912,0.96419,0.93965,0.96605,0.45388,1.38665,1.63923,0.08955,0.68534,1.92309,0.000657963,0.000657963,0.000657963
42,2218.4,1.17428,2.40064,0.30518,1.32813,1.63668,0.93869,0.95935,0.97743,0.67265,0.92734,0.947,0.96331,0.49168,1.1306,1.58216,0.08367,0.61791,1.70516,0.000643101,0.000643101,0.000643101
43,2268,1.1825,2.43662,0.31045,1.35369,1.65516,0.95321,0.95439,0.98946,0.68564,0.93633,0.936,0.96623,0.50357,1.10192,1.59941,0.08401,0.59742,1.64962,0.000628101,0.000628101,0.000628101
44,2317.48,1.16386,2.39501,0.30214,1.31061,1.63045,0.93661,0.97243,0.98442,0.63816,0.93661,0.97243,0.98442,0.47336,1.27815,1.55086,0.056,0.62927,1.7851,0.000612981,0.000612981,0.000612981
45,2366.94,1.14611,2.34414,0.3049,1.26191,1.60531,0.92538,0.88815,0.95529,0.6879,0.9221,0.88556,0.94989,0.48057,1.02248,1.53125,0.08058,0.5932,1.6034,0.000597754,0.000597754,0.000597754
46,2416.37,1.11633,2.3006,0.30027,1.25725,1.5901,0.92458,0.94655,0.98425,0.70846,0.92063,0.94352,0.97949,0.52753,1.03017,1.4919,0.08747,0.60297,1.56925,0.000582435,0.000582435,0.000582435
47,2465.87,1.10756,2.20847,0.30234,1.21162,1.59488,0.97858,0.93443,0.98503,0.69812,0.96837,0.92446,0.96895,0.48864,1.04271,1.51635,0.09389,0.5675,1.62067,0.00056704,0.00056704,0.00056704
48,2515.21,1.10411,2.23318,0.29928,1.24664,1.58662,0.95124,0.92769,0.98541,0.68314,0.95124,0.92769,0.98541,0.47295,1.1432,1.53499,0.0902,0.60656,1.68819,0.000551584,0.000551584,0.000551584
49,2564.72,1.13221,2.27476,0.29457,1.26726,1.60365,0.95287,0.96334,0.98743,0.69247,0.95287,0.96334,0.98436,0.52271,1.08511,1.45331,0.11055,0.56214,1.62302,0.000536081,0.000536081,0.000536081
50,2614.16,1.11334,2.16995,0.29146,1.22639,1.59294,0.96641,0.94939,0.98752,0.73143,0.96641,0.94939,0.98752,0.55172,0.96133,1.41431,0.10917,0.52993,1.54344,0.000520548,0.000520548,0.000520548
51,2663.67,1.09311,2.12177,0.2927,1.18294,1.58907,0.88063,0.96922,0.99094,0.6414,0.88063,0.96922,0.99094,0.56979,1.3032,1.37411,0.06361,0.64712,1.80211,0.000505,0.000505,0.000505
52,2713.19,1.10222,2.17999,0.30147,1.20313,1.58988,0.97661,0.95175,0.9896,0.70314,0.97661,0.95175,0.9896,0.55312,1.07004,1.39556,0.0887,0.54914,1.66803,0.000489452,0.000489452,0.000489452
53,2762.58,1.08252,2.1473,0.29504,1.17554,1.5635,0.97999,0.95973,0.98871,0.70463,0.97999,0.95973,0.98871,0.55077,1.06626,1.37874,0.08456,0.54123,1.61549,0.000473919,0.000473919,0.000473919
54,2812,1.07493,2.10218,0.28233,1.15196,1.55692,0.97868,0.95606,0.98892,0.70676,0.97868,0.95606,0.98892,0.54079,1.07006,1.37041,0.09275,0.55202,1.61625,0.000458416,0.000458416,0.000458416
55,2861.36,1.07566,2.00468,0.28512,1.12813,1.55783,0.97587,0.95791,0.98856,0.69091,0.97587,0.95791,0.98856,0.55509,1.163,1.37751,0.08256,0.55482,1.70383,0.00044296,0.00044296,0.00044296
56,2910.83,1.08964,2.03889,0.28172,1.14158,1.55775,0.97927,0.9754,0.99103,0.70299,0.97927,0.9754,0.99103,0.58013,1.05999,1.30208,0.07156,0.48836,1.59297,0.000427565,0.000427565,0.000427565
57,2960.23,1.07025,2.0787,0.2799,1.12362,1.55723,0.99117,0.99048,0.99123,0.67055,0.99117,0.99048,0.99123,0.572,1.16477,1.34037,0.06567,0.50226,1.70989,0.000412246,0.000412246,0.000412246
58,3009.69,1.06008,1.95258,0.27977,1.12651,1.56174,0.99024,0.98025,0.99215,0.69348,0.99024,0.98025,0.99215,0.58881,1.16134,1.24978,0.07028,0.50793,1.68603,0.000397019,0.000397019,0.000397019
59,3059.09,1.0582,2.00234,0.2798,1.09516,1.55137,0.94911,0.98907,0.98734,0.7078,0.94911,0.98907,0.98734,0.60503,1.06165,1.21575,0.05881,0.486,1.59744,0.000381899,0.000381899,0.000381899
60,3108.71,1.07562,2.11787,0.2906,1.11478,1.56122,0.98555,0.97144,0.99231,0.72291,0.98555,0.97144,0.99231,0.59497,1.02581,1.24225,0.07041,0.4671,1.5779,0.000366899,0.000366899,0.000366899
61,3158.25,1.04956,1.96585,0.27661,1.07699,1.53576,0.98455,0.98861,0.99131,0.73431,0.98455,0.98861,0.99131,0.56961,1.01626,1.29397,0.05172,0.4608,1.54193,0.000352037,0.000352037,0.000352037
62,3208.01,1.04051,1.94584,0.27536,1.0719,1.53837,0.98263,0.98651,0.99153,0.7447,0.97951,0.98336,0.98843,0.57353,0.98436,1.32216,0.06592,0.46241,1.52222,0.000337325,0.000337325,0.000337325
63,3257.75,1.0439,1.97012,0.27926,1.08305,1.5356,0.98278,0.97149,0.99098,0.72732,0.98278,0.97149,0.99098,0.58849,1.03453,1.23421,0.06571,0.48502,1.55502,0.000322778,0.000322778,0.000322778
64,3307.2,1.04963,1.95665,0.2696,1.06113,1.5282,0.98489,0.98048,0.9913,0.73518,0.98489,0.98048,0.9913,0.60577,0.98116,1.2041,0.06939,0.46484,1.54335,0.000308412,0.000308412,0.000308412
65,3356.83,1.03455,1.91392,0.27761,1.05314,1.51949,0.98699,0.9886,0.99074,0.73484,0.98699,0.9886,0.99074,0.61005,0.97898,1.2504,0.06505,0.46011,1.53132,0.000294239,0.000294239,0.000294239
66,3406.5,1.05319,1.91474,0.26829,1.09026,1.52688,0.98289,0.99135,0.99187,0.74591,0.98289,0.99135,0.99187,0.61749,0.95701,1.16655,0.0587,0.44051,1.48276,0.000280275,0.000280275,0.000280275
67,3456.03,1.01973,1.88985,0.27513,1.06475,1.52538,0.98341,0.99063,0.99225,0.75215,0.98341,0.99063,0.99225,0.62818,0.93866,1.15962,0.05315,0.4311,1.45738,0.000266532,0.000266532,0.000266532
68,3505.58,1.03382,1.88645,0.27637,1.02281,1.52384,0.98335,0.9935,0.9924,0.74996,0.98335,0.9935,0.9924,0.63515,0.94088,1.17873,0.06189,0.43258,1.48004,0.000253024,0.000253024,0.000253024
69,3555.03,1.0197,1.80023,0.26522,1.00037,1.50974,0.98886,0.9935,0.99228,0.75907,0.98886,0.9935,0.99228,0.63197,0.90666,1.17111,0.05046,0.44254,1.46059,0.000239766,0.000239766,0.000239766
70,3604.71,0.9945,1.76212,0.27069,1.001,1.50219,0.99131,0.973,0.99147,0.75978,0.99131,0.973,0.99147,0.6447,0.9094,1.12732,0.06122,0.438,1.45128,0.000226769,0.000226769,0.000226769
71,3654.14,0.99756,1.79227,0.26699,1.04068,1.50436,0.98687,0.9931,0.99231,0.75177,0.98687,0.9931,0.99231,0.62947,0.96357,1.1249,0.05892,0.43965,1.50644,0.000214046,0.000214046,0.000214046
72,3703.71,1.02201,1.82184,0.26857,1.0219,1.51582,0.98121,0.99518,0.99194,0.75981,0.98121,0.99518,0.99194,0.63565,0.90698,1.13362,0.05654,0.43382,1.45648,0.000201611,0.000201611,0.000201611
73,3753.22,0.99571,1.79807,0.26208,1.01725,1.51158,0.98966,0.98208,0.99181,0.75153,0.98966,0.98208,0.99181,0.62902,0.9319,1.17182,0.05857,0.44279,1.47922,0.000189475,0.000189475,0.000189475
