epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.264,2.18119,8.71979,0.661,3.35637,2.50344,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00327684,0.00327684,0.0705085
2,676.013,2.00025,8.19713,0.5997,2.74192,2.23027,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.00647929,0.00647929,0.0403776
3,1002.17,1.9368,7.90236,0.56802,2.53658,2.16421,0.00043,0.03692,2e-05,0,0,0,0,0,4.73628,11.494,62.0089,5040.42,20.6962,0.00954974,0.00954974,0.0101147
4,1325.85,1.82381,7.62679,0.53251,2.41279,2.09329,0.01621,0.585,0.01663,0.00545,0.00015,0.00938,0,0,2.60728,10.2814,0.07823,631.542,6.03192,0.009406,0.009406,0.009406
5,1647.33,1.82833,7.53662,0.51855,2.20978,2.06361,0.33944,0.18914,0.00887,0.00233,0,0,0,0,2.81127,10.8054,0.0212,87.6439,5.42316,0.009208,0.009208,0.009208
6,1998,1.75176,7.28371,0.49593,2.21767,2.01032,0.15474,0.22501,0.0987,0.03435,0.00113,0.07407,0.00067,7e-05,2.19426,8.3672,0.11158,3.91059,3.21049,0.00901,0.00901,0.00901
7,2305.45,1.70929,7.28981,0.48769,2.04889,1.95085,0.88971,0.04794,0.05419,0.01105,0,0,0,0,3.21424,10.106,0.34307,11.6701,5.38754,0.008812,0.008812,0.008812
8,2650.18,1.70709,7.16115,0.48096,2.00371,1.94183,0.06568,0.25038,0.10468,0.03547,0.00011,0.00926,1e-05,0,2.5005,8.98762,0.10782,3.99832,3.88383,0.008614,0.008614,0.008614
9,3042.22,1.66256,7.14706,0.46712,1.92837,1.89291,0.31955,0.51451,0.27715,0.09283,0.00668,0.02773,0.00188,0.00019,2.26083,7.62417,0.12096,2.45325,3.05524,0.008416,0.008416,0.008416
10,3376.1,1.65611,6.92757,0.44995,1.89663,1.87218,0.25417,0.3595,0.2443,0.10672,0.171,0.01561,0.00049,8e-05,1.86323,7.70277,0.13092,3.05243,2.67829,0.008218,0.008218,0.008218
