epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5879,1.91502,8.62403,0.66889,2.97124,2.17975,0,0,0,0,0,0,0,0,3.54096,11.7839,1.91145,137467,128.979,0.00327684,0.00327684,0.0705085
2,57.7657,1.78429,7.97091,0.62955,2.28049,2.01902,0.00139,0.25039,0.00126,0.0003,0,0,0,0,3.22949,10.0534,0.29224,2093.25,7.88853,0.00654473,0.00654473,0.040443
3,83.584,1.80162,7.72152,0.58528,2.26709,2.03181,0.35683,0.05054,0.01084,0.00298,0,0,0,0,2.96243,9.31274,0.30116,10.9828,4.3013,0.00974662,0.00974662,0.0103116
4,108.726,1.69799,7.51204,0.54687,2.1163,1.96328,0.35156,0.22332,0.02348,0.00539,0,0,0,0,3.35991,10.5259,0.05785,18.7729,6.57876,0.009703,0.009703,0.009703
5,134.242,1.68705,7.44211,0.51921,2.06643,1.92269,0.07725,0.4329,0.14211,0.04827,0,0,0,0,2.31566,8.83849,0.09715,6.69878,3.45357,0.009604,0.009604,0.009604
6,158.872,1.63628,7.07133,0.49603,1.98064,1.88423,0.42071,0.51422,0.25956,0.08709,0.16905,0.00938,0.00018,2e-05,2.52974,7.56146,0.14676,3.01718,3.54927,0.009505,0.009505,0.009505
7,183.642,1.62708,7.2519,0.50101,1.8563,1.85881,0.40533,0.51611,0.2606,0.1264,0,0,0,0,1.93528,8.9993,0.05527,2.35614,3.03222,0.009406,0.009406,0.009406
8,208.246,1.58485,7.11524,0.49434,1.87727,1.84811,0.27403,0.66337,0.41516,0.15809,0.35762,0.03469,0.00717,0.00075,1.97131,6.94486,0.22184,1.69963,2.83715,0.009307,0.009307,0.009307
9,232.696,1.52092,6.88501,0.47689,1.75121,1.7827,0.24869,0.55839,0.27268,0.12328,0.00242,0.00629,0.00012,2e-05,1.85032,7.99836,0.22573,2.46615,2.65228,0.009208,0.009208,0.009208
10,257.175,1.57938,6.89253,0.47988,1.85912,1.80329,0.23236,0.56432,0.30412,0.10507,0.00047,0.00629,4e-05,0,1.99863,7.69573,0.21908,2.86785,2.82026,0.009109,0.009109,0.009109
11,281.705,1.48238,6.80148,0.4653,1.76078,1.73216,0.20874,0.65086,0.3261,0.15045,0.00172,0.00309,4e-05,0,1.72297,8.23218,0.10212,2.92605,2.56174,0.00901,0.00901,0.00901
12,307.58,1.47013,6.63164,0.45835,1.70286,1.72992,0.36403,0.87998,0.49187,0.25695,0.0387,0.08415,0.01443,0.00208,1.52055,7.17082,0.18544,1.61379,2.21821,0.008911,0.008911,0.008911
