epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.198,1.70191,6.10955,0.66178,2.71313,2.12138,0.34903,0.40458,0.28269,0.09449,0,0,0,0,2.29166,7.04341,0.66747,2.33936,2.81391,0.000165951,0.000165951,0.0835708
2,941.18,1.62993,5.46308,0.62816,2.24549,2.01582,0.31133,0.67569,0.4203,0.13646,0.16857,0.00309,7e-05,1e-05,2.2624,6.76577,0.4983,1.78468,3.23647,0.000332598,0.000332598,0.0670708
3,1402.06,1.6125,5.21821,0.60259,2.16246,1.99633,0.47063,0.73218,0.50316,0.21424,0.18095,0.02834,0.00205,0.00033,1.813,6.18706,0.58987,1.62297,2.40784,0.000499163,0.000499163,0.0505707
4,1866.66,1.60423,5.02816,0.56772,2.11402,1.98459,0.38255,0.86558,0.47809,0.22504,0.02491,0.05418,0.00327,0.00053,1.7457,5.29362,0.3401,1.49126,2.32901,0.000665585,0.000665585,0.0340704
5,2328.35,1.55812,4.75791,0.53078,2.02143,1.9507,0.40999,0.85286,0.60126,0.28981,0.0965,0.17041,0.07262,0.01041,1.7473,5.03341,0.25907,1.53164,2.34729,0.000831805,0.000831805,0.01757
6,2800.74,1.50647,4.57485,0.49671,2.00719,1.93227,0.36325,0.86012,0.50707,0.18307,0.09831,0.21699,0.0707,0.01245,2.10047,4.66077,0.16962,1.55344,2.60341,0.00099776,0.00099776,0.00106929
7,3262.54,1.51403,4.4889,0.47537,1.97742,1.90761,0.42909,0.81774,0.56383,0.2489,0.10631,0.21056,0.05141,0.0076,1.89294,4.49968,0.18012,1.38328,2.49115,0.000997803,0.000997803,0.000997803
8,3725.17,1.50086,4.28226,0.46138,1.95055,1.90365,0.39678,0.73298,0.53151,0.27438,0.11408,0.25822,0.08539,0.01683,1.68128,4.4175,0.13365,1.32204,2.24049,0.000997011,0.000997011,0.000997011
9,4187.6,1.52058,4.30592,0.45597,1.91786,1.90689,0.41864,0.90241,0.57111,0.26442,0.16019,0.34488,0.12698,0.02855,1.85295,4.055,0.11828,1.40256,2.40803,0.000996097,0.000996097,0.000996097
10,4654.06,1.49888,4.06702,0.43755,1.916,1.90368,0.435,0.87583,0.62042,0.34467,0.12524,0.32621,0.1164,0.03263,1.50149,3.88819,0.10846,1.26332,2.11218,0.000995062,0.000995062,0.000995062
11,5118.36,1.47404,4.10193,0.44593,1.89065,1.85968,0.49383,0.92459,0.66189,0.27661,0.23992,0.4167,0.19679,0.04374,1.92184,3.98118,0.11873,1.31974,2.37918,0.000993906,0.000993906,0.000993906
12,5583.49,1.46365,3.88258,0.4225,1.83287,1.85496,0.48813,0.86635,0.60408,0.33915,0.23469,0.42607,0.21442,0.05881,1.46247,3.76297,0.09103,1.2093,1.93762,0.000992629,0.000992629,0.000992629
13,6045.43,1.45038,3.95764,0.43145,1.83069,1.84212,0.52685,0.71153,0.59066,0.34296,0.23741,0.36475,0.14829,0.03088,1.48943,3.86041,0.15207,1.81538,2.06707,0.000991232,0.000991232,0.000991232
14,6509.06,1.37777,3.91299,0.42669,1.75686,1.80071,0.48092,0.92357,0.6495,0.37047,0.27353,0.50263,0.25137,0.05572,1.38158,3.61806,0.10818,1.23699,1.93462,0.000989715,0.000989715,0.000989715
15,6971.67,1.42399,3.77962,0.40115,1.79892,1.82881,0.48627,0.92218,0.6699,0.38413,0.25631,0.52369,0.25605,0.05085,1.47328,3.59604,0.09335,1.19684,2.01026,0.000988079,0.000988079,0.000988079
16,7432.8,1.37768,3.68262,0.40956,1.72462,1.79418,0.4828,0.90438,0.64942,0.39094,0.29854,0.53024,0.29556,0.06674,1.44457,3.49909,0.10733,1.16522,1.95369,0.000986323,0.000986323,0.000986323
17,7901.13,1.3543,3.68979,0.40929,1.70263,1.78708,0.50913,0.88592,0.67503,0.37899,0.34049,0.57968,0.35518,0.07499,1.55718,3.32754,0.10295,1.16701,2.10113,0.000984449,0.000984449,0.000984449
18,8363.76,1.39379,3.62047,0.38978,1.75786,1.81487,0.48073,0.92943,0.63261,0.33312,0.28295,0.54311,0.22545,0.04543,1.65151,3.32329,0.11993,1.25519,2.12963,0.000982456,0.000982456,0.000982456
19,8825.71,1.35017,3.49837,0.38777,1.70039,1.77817,0.52769,0.87299,0.69547,0.45663,0.33636,0.61287,0.39737,0.09903,1.26587,3.16883,0.08179,1.15621,1.82478,0.000980345,0.000980345,0.000980345
20,9287.15,1.38142,3.57458,0.39975,1.64873,1.77362,0.59099,0.92779,0.70467,0.4245,0.32699,0.52461,0.28027,0.05986,1.48252,3.36979,0.08343,1.07591,1.96801,0.000978118,0.000978118,0.000978118
21,9750.65,1.35988,3.52879,0.39535,1.68522,1.77527,0.56411,0.91855,0.72253,0.45945,0.36269,0.5567,0.31906,0.08047,1.36219,3.23474,0.09646,1.07195,1.87632,0.000975773,0.000975773,0.000975773
22,10212.9,1.3403,3.4052,0.38385,1.66951,1.76138,0.52073,0.94023,0.68479,0.34515,0.3704,0.64657,0.39102,0.10768,1.75945,3.13673,0.11097,1.19162,2.27709,0.000973312,0.000973312,0.000973312
23,10674.8,1.36389,3.37934,0.38726,1.66365,1.77549,0.57749,0.91208,0.74681,0.46106,0.40076,0.60938,0.39262,0.08927,1.42153,3.24235,0.10309,1.06124,1.97152,0.000970736,0.000970736,0.000970736
24,11137.7,1.33913,3.40279,0.38488,1.63555,1.75684,0.48559,0.94952,0.74538,0.46776,0.38369,0.73461,0.50556,0.13936,1.38733,2.89477,0.08701,1.07892,1.90532,0.000968045,0.000968045,0.000968045
25,11602.2,1.28856,3.36914,0.38428,1.57866,1.71986,0.51929,0.94373,0.77168,0.52973,0.39044,0.74546,0.4851,0.13523,1.19407,2.89474,0.12162,0.97612,1.7404,0.000965239,0.000965239,0.000965239
26,12068.3,1.31244,3.24658,0.37698,1.5649,1.72573,0.65526,0.86901,0.81709,0.53979,0.4782,0.61202,0.45295,0.12282,1.20953,2.99624,0.08495,0.99293,1.78421,0.00096232,0.00096232,0.00096232
27,12530.9,1.32226,3.23751,0.37068,1.61664,1.75678,0.66867,0.89527,0.81749,0.56757,0.57425,0.73277,0.60486,0.19425,1.15041,2.71338,0.09668,1.00237,1.73428,0.000959289,0.000959289,0.000959289
28,13009.3,1.30553,3.2155,0.36713,1.5755,1.73746,0.6432,0.8798,0.82533,0.52331,0.52506,0.70118,0.58062,0.1794,1.35206,2.71293,0.07333,1.01996,1.83658,0.000956145,0.000956145,0.000956145
29,13482.6,1.26215,3.16301,0.35946,1.53401,1.69446,0.58849,0.91734,0.8392,0.55416,0.50358,0.7773,0.65431,0.20242,1.24415,2.56814,0.0716,0.98844,1.79643,0.000952889,0.000952889,0.000952889
30,13955.9,1.26568,3.05398,0.35762,1.53271,1.68775,0.63104,0.90857,0.8503,0.56899,0.53674,0.76909,0.63679,0.19115,1.27974,2.47178,0.058,0.966,1.83852,0.000949524,0.000949524,0.000949524
31,14429.5,1.25558,3.09558,0.35418,1.53368,1.68275,0.61388,0.92627,0.87068,0.58318,0.50234,0.75488,0.61368,0.18842,1.22162,2.52821,0.09017,0.99437,1.75893,0.000946048,0.000946048,0.000946048
32,14903.7,1.27622,3.02954,0.35392,1.48409,1.70008,0.72804,0.85768,0.89769,0.55486,0.66665,0.77715,0.78343,0.25985,1.39,2.30227,0.119,1.00016,1.95525,0.000942464,0.000942464,0.000942464
33,15380.2,1.24766,3.04746,0.36415,1.49618,1.67332,0.7656,0.83215,0.88875,0.5688,0.67972,0.75481,0.76467,0.2578,1.30466,2.24821,0.07294,0.86534,1.85522,0.000938772,0.000938772,0.000938772
34,15857,1.27842,2.92269,0.35435,1.4802,1.70202,0.70426,0.88556,0.90902,0.58179,0.67188,0.84015,0.83766,0.26402,1.29609,2.28647,0.10435,0.86769,1.83954,0.000934973,0.000934973,0.000934973
35,16336.8,1.26281,2.94608,0.35052,1.51181,1.69134,0.65217,0.88043,0.8313,0.53835,0.63216,0.84672,0.77315,0.28718,1.2555,2.20775,0.07997,0.94368,1.80233,0.000931067,0.000931067,0.000931067
36,16815.3,1.25794,2.86613,0.34636,1.4953,1.68529,0.79059,0.92124,0.9176,0.60001,0.65995,0.7796,0.72823,0.22581,1.20912,2.38567,0.08044,0.86526,1.76182,0.000927057,0.000927057,0.000927057
37,17296.7,1.23963,2.87751,0.35083,1.44019,1.67912,0.87579,0.9158,0.96324,0.65606,0.83738,0.88213,0.90033,0.29074,1.13547,2.16602,0.09515,0.79099,1.67934,0.000922942,0.000922942,0.000922942
38,17772.8,1.22855,2.75041,0.34422,1.46092,1.66815,0.8443,0.88235,0.94235,0.64795,0.81406,0.8501,0.88779,0.31402,1.11759,2.15694,0.07643,0.81696,1.68428,0.000918725,0.000918725,0.000918725
39,18253.6,1.21233,2.771,0.33312,1.40098,1.65711,0.84861,0.89239,0.95844,0.65282,0.82574,0.86485,0.914,0.31987,1.11834,2.08328,0.06538,0.77402,1.71528,0.000914405,0.000914405,0.000914405
40,18730.8,1.22144,2.79274,0.3398,1.43083,1.66816,0.83984,0.88438,0.96144,0.64078,0.86503,0.82033,0.9219,0.37455,1.18124,2.01362,0.06753,0.74192,1.70229,0.000909984,0.000909984,0.000909984
41,19196.8,1.20691,2.77322,0.33168,1.38868,1.65321,0.78245,0.93309,0.9419,0.62249,0.77505,0.924,0.92784,0.40355,1.17907,1.82145,0.07065,0.74603,1.72933,0.000905463,0.000905463,0.000905463
42,19654.8,1.20383,2.71687,0.33966,1.39948,1.64976,0.82735,0.95873,0.96258,0.66727,0.80379,0.92874,0.91401,0.38836,1.14796,1.8954,0.07273,0.73862,1.66595,0.000900844,0.000900844,0.000900844
43,20113.6,1.21264,2.56959,0.32373,1.35684,1.65166,0.80397,0.93926,0.96881,0.62681,0.78621,0.92076,0.9371,0.36176,1.27629,1.93743,0.07471,0.75844,1.81609,0.000896127,0.000896127,0.000896127
44,20571.4,1.18975,2.65475,0.33097,1.35276,1.63991,0.8589,0.89899,0.96167,0.63516,0.83538,0.87507,0.92034,0.35494,1.18459,1.93084,0.10997,0.76395,1.74396,0.000891313,0.000891313,0.000891313
45,21031.4,1.18335,2.56813,0.32858,1.32586,1.61776,0.89285,0.94763,0.96439,0.61135,0.88659,0.94113,0.9532,0.41444,1.25094,1.79818,0.12043,0.70716,1.84603,0.000886404,0.000886404,0.000886404
46,21494.5,1.20871,2.61264,0.32339,1.339,1.64769,0.92434,0.88884,0.96871,0.65357,0.91175,0.87617,0.9521,0.41382,1.25755,1.77553,0.09075,0.6718,1.77252,0.000881401,0.000881401,0.000881401
47,21978.7,1.1632,2.48613,0.32158,1.28021,1.61246,0.85251,0.92796,0.9655,0.66479,0.85616,0.92033,0.95262,0.38931,1.05858,1.86813,0.07421,0.68259,1.60463,0.000876305,0.000876305,0.000876305
48,22474.6,1.17525,2.5933,0.32721,1.32478,1.62799,0.94032,0.93759,0.97859,0.66721,0.91682,0.91256,0.93593,0.3878,1.15197,1.80394,0.09464,0.62774,1.66551,0.000871117,0.000871117,0.000871117
49,22997.2,1.16339,2.45665,0.32345,1.28229,1.61542,0.8951,0.91499,0.98815,0.64807,0.87127,0.89053,0.94793,0.44371,1.29102,1.75087,0.08463,0.65691,1.78584,0.000865839,0.000865839,0.000865839
50,23570.6,1.1888,2.51913,0.31695,1.30645,1.63578,0.90892,0.92087,0.98134,0.69498,0.89003,0.90089,0.9531,0.41842,1.12308,1.80046,0.04999,0.60905,1.62331,0.000860473,0.000860473,0.000860473
51,24126.8,1.16544,2.50224,0.31796,1.30332,1.6082,0.84738,0.88297,0.96072,0.65568,0.83754,0.86974,0.93971,0.38589,1.10352,1.87798,0.08966,0.73129,1.62279,0.000855018,0.000855018,0.000855018
52,24616.2,1.12934,2.4505,0.31739,1.28224,1.5922,0.94877,0.94367,0.98626,0.69991,0.94522,0.94019,0.97964,0.44733,1.01498,1.68659,0.08338,0.56668,1.56033,0.000849477,0.000849477,0.000849477
53,25107.8,1.15431,2.40522,0.31504,1.27927,1.60501,0.91758,0.93756,0.97378,0.67804,0.89434,0.91014,0.92227,0.4039,1.11678,1.75359,0.0662,0.6,1.65539,0.000843851,0.000843851,0.000843851
54,25655.3,1.17511,2.54371,0.31642,1.26286,1.62249,0.92153,0.96701,0.98487,0.69151,0.85278,0.90422,0.89083,0.40835,1.07915,1.73302,0.07389,0.59259,1.63147,0.000838141,0.000838141,0.000838141
