epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6659,1.63504,7.809,0.67957,2.69142,2.01727,0.0898,0.40691,0.07813,0.02329,8e-05,0.00926,1e-05,0,2.41637,8.50928,0.63592,5.81952,3.6761,0.000655367,0.000655367,0.067887
2,88.5239,1.53287,6.83678,0.64386,1.9405,1.85121,0.51147,0.06944,0.01346,0.00288,0,0,0,0,2.79158,9.90744,0.26762,11.443,5.26025,0.00132189,0.00132189,0.0352202
3,123.542,1.55186,6.19814,0.59886,1.89537,1.86914,0.21857,0.17176,0.03411,0.00764,0.00015,0.00629,1e-05,0,2.80582,7.88928,0.33131,5.8216,3.84501,0.00198784,0.00198784,0.00255281
4,157.888,1.53564,5.97343,0.55689,1.88377,1.85174,0.11893,0.55276,0.24274,0.10004,0.02266,0.02819,0.00635,0.00084,2.02533,7.56665,0.19835,8.03335,3.17718,0.00199805,0.00199805,0.00199805
5,192.547,1.51545,5.83933,0.53764,1.75593,1.81268,0.20475,0.48491,0.23689,0.07459,0.00181,0.00314,6e-05,1e-05,2.42494,7.48658,0.26169,2.49552,3.44316,0.00199653,0.00199653,0.00199653
6,226.658,1.44374,5.39044,0.49134,1.71347,1.76716,0.35643,0.75678,0.46166,0.20874,0.20956,0.08333,0.03104,0.00447,1.75833,6.14078,0.10883,2.11773,2.55331,0.00199458,0.00199458,0.00199458
7,260.932,1.42684,5.38221,0.47846,1.62661,1.74069,0.41429,0.79488,0.55158,0.28631,0.13037,0.23536,0.0812,0.01322,1.58687,5.31664,0.16045,1.43469,2.28903,0.00199219,0.00199219,0.00199219
8,295.24,1.40207,5.24866,0.47366,1.60398,1.74064,0.27256,0.62026,0.33404,0.13902,0.06225,0.14617,0.04242,0.00648,2.04389,5.67791,0.11516,1.97446,2.77167,0.00198938,0.00198938,0.00198938
9,329.503,1.35085,5.12904,0.45476,1.51755,1.67296,0.45341,0.74286,0.60089,0.31031,0.21691,0.28143,0.16196,0.02858,1.56718,5.12322,0.12376,1.40362,2.18536,0.00198614,0.00198614,0.00198614
10,363.785,1.36403,4.91913,0.44853,1.52422,1.68313,0.56441,0.69875,0.55846,0.31085,0.35357,0.31869,0.14691,0.03075,1.50941,4.61039,0.13279,1.43266,2.16018,0.00198246,0.00198246,0.00198246
