epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,732.601,1.84295,4.71395,0.61396,2.93221,2.3127,0.5022,0.00766,0.00013,3e-05,0,0,0,0,4.46661,6.89307,0.82213,8.33937,7.62917,0.000495726,0.000495726,0.0674473
2,1651.56,1.84166,4.50554,0.52838,2.66512,2.22701,0.21188,0.15974,0.0263,0.00658,0,0,0,0,2.40639,5.9909,0.09057,29.3249,4.09051,0.000994754,0.000994754,0.034613
3,2294.85,1.7182,4.33604,0.4826,2.60699,2.12454,0.33755,0.56952,0.33833,0.10592,0.85085,0.00314,0.00135,0.00014,2.35012,5.5712,0.12081,4.14955,3.503,0.00148989,0.00148989,0.00177479
4,2880.34,1.71929,4.30771,0.46741,2.49033,2.11097,0.25265,0.64942,0.35871,0.11293,0.00176,0.00309,6e-05,1e-05,2.56671,5.3241,0.05574,3.93923,3.70327,0.00148685,0.00148685,0.00148685
5,3319.33,1.6751,4.14167,0.44275,2.36638,2.06276,0.35652,0.59941,0.32105,0.10273,0.33424,0.00309,3e-05,0,2.12817,5.55538,0.05762,3.59245,2.93294,0.00147667,0.00147667,0.00147667
6,3773.22,1.60362,4.00703,0.44226,2.26323,2.00638,0.33006,0.85234,0.49526,0.21888,0.0049,0.01549,0.00041,4e-05,1.78851,4.84086,0.08612,2.2996,2.34915,0.00146366,0.00146366,0.00146366
7,4234.49,1.59219,4.13238,0.44538,2.22019,1.98746,0.46907,0.77762,0.52759,0.21573,0.20455,0.0755,0.01285,0.00141,2.01084,4.6498,0.10722,1.73197,2.7275,0.00144786,0.00144786,0.00144786
8,4713.16,1.57077,4.027,0.42589,2.19234,1.96951,0.33114,0.65534,0.4569,0.20494,0.01681,0.0544,0.00311,0.00037,1.82667,4.69839,0.08157,1.69213,2.4011,0.00142933,0.00142933,0.00142933
9,5420,1.57906,3.91096,0.42501,2.15878,1.96298,0.37151,0.81973,0.47103,0.19002,0.04732,0.11018,0.015,0.00267,1.92667,4.50385,0.05584,1.77772,2.55021,0.00140816,0.00140816,0.00140816
10,5973.08,1.59261,3.90104,0.4084,2.17893,1.98348,0.41999,0.7787,0.55561,0.26192,0.06333,0.15788,0.03438,0.0066,1.80925,4.53063,0.05677,1.53097,2.40186,0.00138441,0.00138441,0.00138441
11,6193.64,1.51497,3.84835,0.41677,2.07273,1.90176,0.46912,0.87252,0.5955,0.32372,0.1073,0.22677,0.05488,0.01075,1.56249,4.13693,0.06402,1.43674,2.09786,0.0013582,0.0013582,0.0013582
12,6519.08,1.50325,3.8146,0.41492,2.05491,1.90779,0.41419,0.74509,0.5513,0.22762,0.08983,0.19433,0.07421,0.01619,1.98127,4.00485,0.05877,1.67009,2.47593,0.00132961,0.00132961,0.00132961
13,6808.89,1.49589,3.69726,0.40822,2.02814,1.89314,0.56229,0.58975,0.49247,0.18733,0.42004,0.09591,0.03191,0.00577,2.21179,4.19868,0.0613,2.11777,2.84802,0.00129876,0.00129876,0.00129876
14,7240.71,1.46288,3.60304,0.40649,2.01547,1.87629,0.41273,0.6463,0.58752,0.31646,0.14872,0.18805,0.07717,0.01455,1.58456,4.10469,0.09968,2.39027,2.15559,0.00126578,0.00126578,0.00126578
15,7538.43,1.48452,3.56351,0.39563,2.02186,1.89439,0.41897,0.84922,0.59993,0.31795,0.18752,0.2379,0.08728,0.01884,1.49006,3.63405,0.09105,1.47768,2.03102,0.00123079,0.00123079,0.00123079
16,7854.81,1.45992,3.51276,0.3996,1.98264,1.86268,0.58222,0.78213,0.60958,0.35282,0.33695,0.31732,0.15777,0.03031,1.46578,3.25509,0.07017,1.29234,2.01463,0.00119393,0.00119393,0.00119393
17,8471.35,1.39507,3.392,0.38657,1.926,1.83046,0.54171,0.8652,0.6899,0.39495,0.17533,0.23335,0.1143,0.02118,1.55653,3.73285,0.09478,1.26141,2.11171,0.00115535,0.00115535,0.00115535
18,9012.42,1.44352,3.33951,0.37248,1.95055,1.86385,0.43122,0.84266,0.60457,0.29118,0.17866,0.3525,0.13318,0.03256,1.73017,3.20223,0.09454,1.62626,2.24395,0.0011152,0.0011152,0.0011152
19,9543.17,1.39916,3.18267,0.37054,1.90139,1.82435,0.59623,0.80722,0.67104,0.4001,0.34078,0.33299,0.17827,0.03821,1.47703,3.35086,0.0573,1.25104,1.98122,0.00107364,0.00107364,0.00107364
20,9868.47,1.39026,3.21077,0.37424,1.81417,1.80157,0.54311,0.87208,0.67501,0.42634,0.3567,0.47443,0.32219,0.07511,1.29595,2.95879,0.08125,1.17921,1.81464,0.00103083,0.00103083,0.00103083
